
> agentic-creative-operating-environment@1.0.0 typecheck
> tsc --noEmit

backend/app/vendor/veo_ai_design_workforce/creative-os/orchestrator.ts(176,53): error TS2339: Property 'type' does not exist on type 'VisualVariant'.
tech_leader-main/backend/app/vendor/veo_ai_design_workforce/creative-os/orchestrator.ts(176,53): error TS2339: Property 'type' does not exist on type 'VisualVariant'.
tech_leader-main/backend/app/vendor/veo_v4_poster/image_generate_route.ts(1,20): error TS2307: Cannot find module 'openai' or its corresponding type declarations.
tech_leader-main/backend/app/vendor/veo_v4_poster/image_generate_route.ts(44,45): error TS7006: Parameter 'img' implicitly has an 'any' type.
tech_leader-main/frontend/src/main.tsx(2,28): error TS7016: Could not find a declaration file for module 'react-dom/client'. '/workspaces/tech_leader/node_modules/react-dom/client.js' implicitly has an 'any' type.
  If the 'react-dom' package actually exposes this module, consider sending a pull request to amend 'https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/react-dom'
tech_leader_videoflow_upgrade/backend/app/vendor/veo_ai_design_workforce/creative-os/orchestrator.ts(176,53): error TS2339: Property 'type' does not exist on type 'VisualVariant'.
tech_leader_videoflow_upgrade/backend/app/vendor/veo_v4_poster/image_generate_route.ts(1,20): error TS2307: Cannot find module 'openai' or its corresponding type declarations.
tech_leader_videoflow_upgrade/backend/app/vendor/veo_v4_poster/image_generate_route.ts(44,45): error TS7006: Parameter 'img' implicitly has an 'any' type.
tech_leader_videoflow_upgrade/packages/videoflow/src/renderer-browser/BrowserRenderer.ts(40,67): error TS2307: Cannot find module '@videoflow/core/types' or its corresponding type declarations.
tech_leader_videoflow_upgrade/packages/videoflow/src/renderer-browser/BrowserRenderer.ts(41,34): error TS2307: Cannot find module '@videoflow/core/utils' or its corresponding type declarations.
tech_leader_videoflow_upgrade/packages/videoflow/src/renderer-browser/BrowserRenderer.ts(51,8): error TS2307: Cannot find module 'mediabunny' or its corresponding type declarations.
tech_leader_videoflow_upgrade/packages/videoflow/src/renderer-browser/BrowserRenderer.ts(128,8): error TS2307: Cannot find module '@videoflow/core' or its corresponding type declarations.
tech_leader_videoflow_upgrade/packages/videoflow/src/renderer-browser/BrowserRenderer.worker.ts(11,8): error TS2307: Cannot find module 'mediabunny' or its corresponding type declarations.
tech_leader_videoflow_upgrade/packages/videoflow/src/renderer-browser/LayerRasterizer.ts(37,32): error TS2307: Cannot find module '@videoflow/core/types' or its corresponding type declarations.
tech_leader_videoflow_upgrade/packages/videoflow/src/renderer-browser/audio/mixer.ts(24,29): error TS2307: Cannot find module '@videoflow/core' or its corresponding type declarations.
tech_leader_videoflow_upgrade/packages/videoflow/src/renderer-browser/audio/mixer.ts(236,42): error TS7006: Parameter 'a' implicitly has an 'any' type.
tech_leader_videoflow_upgrade/packages/videoflow/src/renderer-browser/layers/RuntimeAudioLayer.ts(9,46): error TS2307: Cannot find module '@videoflow/core' or its corresponding type declarations.
tech_leader_videoflow_upgrade/packages/videoflow/src/renderer-browser/layers/RuntimeBaseLayer.ts(24,69): error TS2307: Cannot find module '@videoflow/core/types' or its corresponding type declarations.
tech_leader_videoflow_upgrade/packages/videoflow/src/renderer-browser/layers/RuntimeBaseLayer.ts(97,51): error TS7006: Parameter 'e' implicitly has an 'any' type.
tech_leader_videoflow_upgrade/packages/videoflow/src/renderer-browser/layers/RuntimeBaseLayer.ts(348,12): error TS7006: Parameter 'e' implicitly has an 'any' type.
tech_leader_videoflow_upgrade/packages/videoflow/src/renderer-browser/layers/RuntimeBaseLayer.ts(349,9): error TS7006: Parameter 'e' implicitly has an 'any' type.
tech_leader_videoflow_upgrade/packages/videoflow/src/renderer-browser/layers/RuntimeCaptionsLayer.ts(8,41): error TS2307: Cannot find module '@videoflow/core/types' or its corresponding type declarations.
tech_leader_videoflow_upgrade/packages/videoflow/src/renderer-browser/layers/RuntimeGroupLayer.ts(43,32): error TS2307: Cannot find module '@videoflow/core/types' or its corresponding type declarations.
tech_leader_videoflow_upgrade/packages/videoflow/src/renderer-browser/layers/RuntimeImageLayer.ts(8,29): error TS2307: Cannot find module '@videoflow/core' or its corresponding type declarations.
