hook_id,industry,formula,hook,intent,emotion,risk_level
beauty_hook_0001,beauty,{pain} mà bạn chưa biết vì sao?,Dùng skincare mãi không hiệu quả mà bạn chưa biết vì sao?,awareness,trust,safe
beauty_hook_0002,beauty,Từ {pain_lower} đến {desire} — đây là cách,Từ lão hóa sớm đến da mịn hơn — đây là cách,awareness,trust,safe
beauty_hook_0003,beauty,{pain} mà bạn chưa biết vì sao?,Mụn tái phát mà bạn chưa biết vì sao?,sale,fomo,safe
beauty_hook_0004,beauty,Đối thủ đang dùng cách này để {desire},Đối thủ đang dùng cách này để da mịn hơn,sale,fomo,safe
beauty_hook_0005,beauty,Sai lầm khiến bạn vẫn {pain_lower},Sai lầm khiến bạn vẫn mụn tái phát,lead,fomo,safe
beauty_hook_0006,beauty,Một thay đổi nhỏ giúp {desire},Một thay đổi nhỏ giúp da sáng hơn,awareness,trust,safe
beauty_hook_0007,beauty,{proof}: lý do khiến khách chọn ngay,7 ngày: lý do khiến khách chọn ngay,lead,pain,safe
beauty_hook_0008,beauty,{pain} mà bạn chưa biết vì sao?,Mụn tái phát mà bạn chưa biết vì sao?,lead,trust,safe
beauty_hook_0009,beauty,Đừng mua thêm nếu bạn chưa thấy điều này,Đừng mua thêm nếu bạn chưa thấy điều này,lead,trust,safe
beauty_hook_0010,beauty,Chỉ {proof} để {desire},Chỉ trước/sau để da mịn hơn,awareness,pain,safe
beauty_hook_0011,beauty,Đừng mua thêm nếu bạn chưa thấy điều này,Đừng mua thêm nếu bạn chưa thấy điều này,lead,trust,safe
beauty_hook_0012,beauty,{pain} mà bạn chưa biết vì sao?,Dùng skincare mãi không hiệu quả mà bạn chưa biết vì sao?,lead,hope,safe
beauty_hook_0013,beauty,Chỉ {proof} để {desire},Chỉ trước/sau để nhìn trẻ hơn,lead,hope,safe
beauty_hook_0014,beauty,Đừng mua thêm nếu bạn chưa thấy điều này,Đừng mua thêm nếu bạn chưa thấy điều này,sale,curiosity,safe
beauty_hook_0015,beauty,{proof}: lý do khiến khách chọn ngay,trước/sau: lý do khiến khách chọn ngay,lead,pain,safe
beauty_hook_0016,beauty,Đừng mua thêm nếu bạn chưa thấy điều này,Đừng mua thêm nếu bạn chưa thấy điều này,sale,hope,safe
beauty_hook_0017,beauty,Chỉ {proof} để {desire},Chỉ chuyên gia khuyên dùng để da mịn hơn,awareness,fomo,safe
